nationality,gender,age,overall rating,value for money rating,security rating,location rating,facilities rating,staff rating,atmosphere rating,cleanliness rating,text review
USA,Male,31-40,9.1,10,8,8,8,10,10,10,"staff were cool, they really went over and above to show us a good time. facilities were decent and in good working order. living environment was nice, beds were comfortable and plenty of outlets. wifi worked fine. jonathan is a great guy, he was  helpful and had a lot of local info that made my evenings there much more exciting. sara is cool too, she shower us around one evening and we had a blast!   thanks for the hospitality guys! i&#039;ll definitely be back if i&#039;m ever in the area!!"
Switzerland,Female,18-24,8.6,8,8,10,8,10,8,8,the staff was very friendly and helpful.  the location is near a park and near the center.
USA,Male,31-40,8.3,10,8,8,8,8,8,8,"irie atmosphere.  clean restrooms and kitchen.  staff promoted synergy among guests, which is unique.  "
USA,Female,18-24,9.4,10,8,10,10,10,10,8,"the hostel is amazing. definitely one of the best hostels i&#039;ve ever stayed in. the atmosphere was incredible, staff was friendly (especially tyler and julia) and it&#039;s a gorgeous home. the downstairs toilet was totally the highlight of my stay. front and back bidet? count me in... my only caveat is johnathan (employee). he had really smelly feet (always) and was extremely annoying (also always). over all- amazing hostel! i would def go again even if jonathan was there stinking the place up!!!! "
Mexico,Male,25-30,10,10,10,10,10,10,10,10,great play to stay for a laid back atmosphere and if you are just planning to venture off into the city. i especially liked the fact that they were 420 friendly.  the staff was great always willing to help and even make you pancakes in the mornings. you meet all sorts young people and even go out with the strangers you just met.   i recommend this place to anyone with the right attitude for a house named the mile high house.  
Germany,Male,25-30,10,10,10,10,10,10,10,10,"we had such an amazing time at the mile high house.  me and 4 of my friends stayed here over labor day weekend.  sarah and her staff greeted us right away and were very friendly.  we met such a variety of people from all over the world and everyone was friendly.  sarah and the staff had events planned for us every night that we could participate in if we wanted, including a concert and a bbq/graffiti night.  i highly recommend this hostel to anyone.  well worth it. "
England,Male,41+,8.3,6,8,8,8,10,8,10,nice house and i found the young staff very friendly .  i had a private room  that was very basic and i feel over priced.  maybe the dorms are better value but as i was over 30 years old i wasn&#039;t allowed to book one.
USA,Female,25-30,10,10,10,10,10,10,10,10,"this place is simply amazing. the house is gorgeous, incredibly well kept, and equipped with everything you need for a comfortable stay. it provides a safe and quiet place to rest in a convenient location. i highly recommend staying here."
USA,Female,25-30,10,10,10,10,10,10,10,10,had such an amazing experiencing in denver! the hostel had a very cool vibe and was super clean. the staff were super fun and friendly and gave great recommendations for restaraunts and bars. would definitely come back!
England,Female,18-24,10,10,10,10,10,10,10,10,"the most amazing location, so near voodoo donuts and easy to get to centre! the house is so cool! lots of room, so clean and great common areas like the outdoor deck! the staff are so so amazing, and helpful! loved my stay!! "
USA,Couple,18-24,9.7,8,10,10,10,10,10,10,amazingly welcoming and clean hostel! the manager was a lovely woman who made pancakes for everyone in the morning and had great recommendations for things to do/places to eat. also a great hostel for lgbt travelers!
England,Male,25-30,9.4,8,8,10,10,10,10,10,"beautiful house, very friendly and helpful staff. would love to come back one day!"
England,Male,18-24,9.4,10,10,6,10,10,10,10,"the mile high house was a pleasant surprise, i wasn&#039;t expecting much but it&#039;s a really unique hostel.  it&#039;s basically a really nice house with fancy dorms and bathrooms and the staff are super friendly and hang out with the guests a lot.   the atmosphere was great, everyone i met was lovely and we went out and visited places together.  only complaint is the location is just off of one of the dodgiest streets i&#039;ve been on"
USA,Male,18-24,10,10,10,10,10,10,10,10,had a good time and the staff were very cool and helpful people 
USA,Female,18-24,9.4,10,8,8,10,10,10,10,"i cannot say enough good things about mile high house. the staff were professional and beyond friendly and accommodating, the house itself is gorgeous, and the facilities are very nice. it is also by far the most beautiful hostel i&#039;ve ever stayed in. when seeing it online i changed my plans to stay longer in denver because they had a two night minimum and it was definitely worth it. i had an amazing experience at high house, would whole-heartedly recommend.  "
USA,Female,18-24,7.7,8,8,6,8,8,8,8,"nice little place, a bit creepy at times but overall nice facilities and staff. the location wasn&#039;t the best, there were some sketchy people hanging around nearby at times. and parking can be a little difficult to find. "
Hungary,Male,25-30,10,10,10,10,10,10,10,10,"really beautiful house in a nice neighborhood with 2-3 story houses and a lot of greenery, but also several diners and bars also close on colfax ave. staff was super nice and friendly as well."
USA,Couple,25-30,10,10,10,10,10,10,10,10,"my boyfriend and i loved staying here! we got the double room with a shared bathroom and never had any issues. the staff was friendly, helpful, and we enjoyed making some new friends. location is walkable for the shuttle we needed out to redrocks, could not have worked better! "
SouthKorea,Female,18-24,8.6,8,8,8,8,10,10,8,loved the atmosphere. 
Austria,Male,18-24,10,10,10,10,10,10,10,10,"great hostel, super nice owners."
NewZealand,Male,18-24,10,10,10,10,10,10,10,10,"truly an amazing hostel, safe, calm, and located close to everything denver.  great place for solo travellers as i made lots of friends here. the back porch is great and i lost many hours there."
Norway,Female,18-24,4,2,2,6,2,6,4,6,"no lockers. can&#039;t charge phones at second floor where the rooms is. and the kitchen didn&#039;t have any sharp knives..  i though it was way over prizes. . big room at the doorm, they put in an ekstra bed so there was 9 people at the dorm..  the door to the dorm dosnt lock proparly so everyone in the house have free access to it. "
USA,Male,41+,9.4,8,8,10,10,10,10,10,"beautiful house in a lovely area. staff, led by sara, are great people. i really enjoyed the group outings that were offered--these took advantage of local events like an art walk and peoples&#039; fair. highly recommended--i plan to return."
Canada,Male,18-24,6.9,6,4,6,8,8,6,10,"overall mile high house was a good place to stay, but i think it may be slightly overrated. the beds were uncomfortable and wobbly, there is no place to lock your belongings, and the &quot;breakfast&quot; was just pancake mix pancakes. not sure if it was really worth the price. i did appreciate the cleanliness of the house and the staff who were friendly. "
Netherlands,Male,25-30,10,10,10,10,10,10,10,10,great place: very friendly staff and good atmosphere. the pancakes in the morning are delicious :-) 
Australia,Male,25-30,6.3,8,2,6,8,10,6,4,"pros: really friendly staff,  chilled atmosphere, wi-fi was alright, food nearby, easy enough to get to, pancakes are good    cons: no lockers, the standard us power plug was not available upstairs"
USA,Female,18-24,10,10,10,10,10,10,10,10,"i looooove sarah! she know how to welcome my girlfriend and friend! i promise you, you won&#039;t regret this hostel. i have experienced traveling. none of the hostel allowed me smoke mary jane. if you want to smoke mary jane go to backyard and smokes. they will make your trip best ever! "
Australia,Female,41+,8,8,8,6,8,10,8,8,sara was very friendly and helpful. she went out of her way to help me and made my stay enjoyable.
Scotland,Female,31-40,10,10,10,10,10,10,10,10,"had a lovely few days at mile house, the house is absolutely eautiful, spotless clean and there&#039;s a great communal kitchen, dining area, lounge area and patio out back.  staff are lovely and very helpful too.  highly recommend for a trip to denver!"
SouthKorea,MixedGroup,18-24,9.4,10,10,10,6,10,10,10,private room said it has 3 beds but it was one full size and one single bed.
USA,Female,41+,9.7,10,10,10,10,10,8,10,"the mile high guesthouse/hostel is beautiful.  transportation, restaurants, shops, fabulous homes and parks are all in the neighborhood.  our host and staff were friendly, helpful and very interesting personally.  i highly recommend a stay here."
Uruguay,Female,25-30,10,10,10,10,10,10,10,10,great place! 😉
England,Couple,25-30,9.4,10,10,8,10,10,8,10,great hostel. lovely environment and friendly staff. location is ok and the bus network makes it easy to get a round. loved this place and would highly recommend.
USA,Male,41+,9.4,10,8,10,8,10,10,10,"this is a clean, well run property in a great location. staff are very friendly and the place was super clean. the bed in my room gave me an excellent night&#039;s sleep. close to botanical gardens, zoo, bars and restaurants. try pete&#039;s kitchen right around the corner. "
Philippines,Male,18-24,9.1,8,10,10,6,10,10,10,"love staying at mile high house. the location is great being only a 30 minute walk away from capitol hill and a less-than-$10 ride with uber or lyft to most of the places you&#039;ll want to visit/eat. the staff were also very friendly and helpful, notably sara who was such a gracious host. everyone at the hostel were also very amicable. my only complaint is that the beds were very noisy (made from metal that squeaked every time you moved) with the mattresses not being firm at all. "
USA,Female,18-24,9.4,10,8,8,10,10,10,10,"this was one of the best hostels that i&#039;ve ever stayed in. the staff was friendly, the place was beautiful and located near bars, coffee shops, and a fantastic book store. the only caveat was the 10pm+ enforced quiet hours on the weekends."
USA,Couple,41+,10,10,10,10,10,10,10,10,"wonderful stay. sara and her staff were so welcoming and knowledgeable. we felt really comfortable.the house is gorgeous. there are pancakes, a fancy toilet and relaxing porch. "
NewZealand,Female,25-30,10,10,10,10,10,10,10,10,"awesome hostel, great environment, close to transport and food. excellent staff! "
USA,Male,25-30,10,10,10,10,10,10,10,10,awesome hostel located just the right distance out of downtown denver. the staff was extremely friendly and did their best to make every guest feel at home. the hostel itself was also quite a beautiful little building.
USA,Male,18-24,7.4,4,10,8,8,8,4,10,"if you&#039;re looking for more of an inn type environment, mile high house is the place for you. while they do have the occasional social event, the atmosphere at the guest house (legally they are not a hostel) is more of one where the guests keep to themselves. if you&#039;re looking for a hostel that creates a social environment for backpackers, i would suggest looking elsewhere. "
Canada,Male,25-30,10,10,10,10,10,10,10,10,"this is an amazing hostel. great value, great people, good location. "
Australia,Male,25-30,6,6,4,4,6,6,8,8,"about my 200th hostel  cozy and quaint, a bit far from everything.  nice atmosphere depending on the people.  no lockers though!!  need to get some lockers. it&#039;s all well and good to say we all trust each other, until an opportunist comes along.    could also use some more activities i.e. pub crawls and stuff.    if you are in denver for only a couple of days, stay downtown. if longer, spend a couple of days here as well"
USA,Female,25-30,9.4,8,10,8,10,10,10,10,"it was a great stay overall, loved the pancakes in the morning!"
China,Female,25-30,6,6,6,6,6,6,6,6,"it&#039;s alright comparing to all other hostels oversea, the location is alright with this price."
PuertoRico,Couple,18-24,10,10,10,10,10,10,10,10,"the house is amazing &amp; from the 1800&#039;s. theres a super cool toilet on the first floor and its cannibis friendly.  the pancakes are delicious and the hosts are super sweet ans welcoming. sarah, jen and the two giys are the bomb, definitely coming back! love you mile high!"
USA,Female,18-24,8.9,10,10,6,10,10,6,10,"the staff are fab and the hostel is seriously clean. cons: 1. location - this will depend on preference. for me it was too far from downtown (lodo). it is about a 35-40 minute walk to the heart of however, the uber downtown only cost me 6-9 dollars each time. 2. atmosphere - they close the dinning room and living room at 10pm. many wanted to chill &amp; smoke so they did not care (i wanted to go out too so it mattered to me). "
USA,Female,25-30,9.1,10,8,8,8,10,10,10,this was my first visit to denver and the staff here made me so welcome! on the first night i arrived i quickly made friends and explored the city with others. 
USA,Male,31-40,8.9,8,10,8,6,10,10,10,"the staff are very friendly and have low pressure but inclusive activities for guests. it&#039;s reasonably close to downtown and right next to colfax with plenty of shops, restaurants and bars. everything was very clean. the only problem is noise. the lock to the dorm makes a lot of electronic noise when it opens and closes, and the beds are light metal frame bunkbeds which shake and creak a lot if either person shifts at all in them. more solid beds and simple key locks would be a big improvement."
England,Male,18-24,7.7,6,8,6,8,10,8,8,"the hostel is a little far out from the downtown area, accessible by a ~20 min bus. it&#039;s a pleasant building, with modern furnishings, and the staff are very friendly and accommodating.     the main downside is the myriad sources of noise: creaky floorboards and doors, loud locks, and erratic ventilation systems. may not be the best for light sleepers. "
USA,Male,25-30,10,10,10,10,10,10,10,10,this was the first american hostel i&#039;d ever stayed in. and by far the most fun i&#039;ve ever had in a hostel. getting to and from the airport on public transport could not be easier. everything you need is on colfax. denver is at your door stop. this is a prime hostel location. there were no lockers but i never once felt the need for one. try the japanese toilet! or else your mile high experience will be cut short. really good vibe and atmosphere. pretty chill. all different people! great!!!
Canada,Female,18-24,9.7,10,8,10,10,10,10,10,"no lockers in the rooms but otherwise i felt my stuff was safe enough. the staff is great, very friendly, and arranged a fun bar crawl while i was there."
Brazil,Male,31-40,9.4,10,10,6,10,10,10,10,"nice hostel functioning on a old, spacious, beautiful house. you will have to walk about 45min to downtown, but it is definitely a good place to stay in denver. "
Germany,Female,25-30,10,10,10,10,10,10,10,10,"best hostel i&#039;ve ever stayed at. beautiful house with spacious rooms, friendly staff and a cozy common area!"
USA,Male,18-24,9.4,10,10,8,10,10,8,10,"very friendly staff, clean facilities and good location. downtown is a short uber/bus ride away (it is walkable, if you&#039;re ambitious) but there&#039;s plenty of restaurants and bars nearby to keep you busy. make sure to check out voodoo doughnuts if you&#039;re looking for some late night munchies. fellow hostel guests were sociable and down to share a joint (it&#039;s a hostel in colorado, so be ready for some weed)."
India,Male,25-30,10,10,10,10,10,10,10,10,"amazing location, chill staff. keep in mind that street parking is free (not included in the property description), but it may be a bit hard to find in the evenings/over the weekend. will stay here the next time i&#039;m in denver"
USA,Female,25-30,10,10,10,10,10,10,10,10,"great accommodations, great service. the house was beautiful and the location was perfect. would recommend it to anyone traveling to denver. "
USA,Male,25-30,10,10,10,10,10,10,10,10,"great place in the heart of denver. minutes away from union station, pepsi center, coors field, dispensaries, etc. very friendly staff, always helpful. the free breakfast is really nice. the house has a very old style classic design. "
USA,Female,18-24,9.4,10,8,8,10,10,10,10,i love their japanese toilet. sarah and the crew were all kind and accommodating. 
USA,Male,31-40,7.4,8,8,6,6,8,8,8,the bunk beds were wobbly
USA,Male,18-24,7.1,8,6,10,6,6,8,6,i was there soon after they opened up.  great location and amazing house. however they need new bathrooms (not enough) and they didn&#039;t have any working lockers to even keep stuff behind the desk (locksmith was supposed to come but didnt) so i didn&#039;t have anywhere to put a laptop securely. also the bunks were like the cheapest aluminum frames they could find and so unsteady that you could practically feel your bunk mate breathe.    i hope for their sake they can make some additional investments
Australia,Male,18-24,10,10,10,10,10,10,10,10,"amazing, staff were so friendly and the house is incredible!"
USA,Male,25-30,9.7,10,8,10,10,10,10,10,"mile high hostel is an amazing place to stay and is run my a wonderful manager, who will go out of her way to make your stay a good one. add this to the face that you are in colorado, and you won&#039;t be sorry that you stayed here - guaranteed. :)"
SouthKorea,Male,18-24,9.7,10,10,8,10,10,10,10,"first of all, the staff is very kind and welcoming. actually, i was late due to my airplane delayed. however, even though there is check-in time, the staff would let me know how to enter and use the facilities when i got there around 2am by e-mail. they were so nice. and secondly, the atmosphere was also pretty good. finally, the size of room was pretty bigger than most other hostels. it was so nice experience to stay at this hostel for 2 days. "
USA,Male,18-24,10,10,10,10,10,10,10,10,"ive stayed in many hostels around america and i have to say, mile high house, in my opinion is the best yet. wonderful staff that lead pub crawls and intimate smoke sessions every night. "
USA,Female,18-24,10,10,10,10,10,10,10,10,"i love love love the mile high house! fantastic location, close to tons of groovy places in denver. the staff was amazing, the house was beautiful and i met tons of wonderful people. if you come, don&#039;t forget to use the japanese toilet downstairs. will be staying here again in the future, no doubt!"
Australia,Male,18-24,10,10,10,10,10,10,10,10,hands down one of the best hostels i&#039;ve stayed at. it feels like a home away from home with some of the friendliest staff you&#039;ll meet. as soon as you walk through the door you&#039;ll feel like your part of some big family. only downside to staying here is having to leave.
USA,Female,18-24,10,10,10,10,10,10,10,10,the mile high house is one place i&#039;ll never forget! my friend and i were astonished with each and every elegant detail of this historical home. sarah made us feel right at home! she kept us busy with sharing fun places to visit as well as planned evening outings to art shows and pub crawls :d we enjoyed this place so much and will miss it until we return again! -reilly &amp; mady 
USA,Female,25-30,9.4,8,10,10,8,10,10,10,"i arrived early, yet not needing to check in immediately, bivvi did their best to accommodate my earliness. this i appreciated. on top of that, this was my first time staying at a &quot;hostel&quot; in the us, and i was blown away by the hospitality. i am a typical solo female backpacker, thus, usually traveling out of country and expected the us hostel to be sub par. this was not the case and i felt my ski getaway to breckinridge was exactly what i seeked out.. something out of the norm, but beautiful! "
Argentina,AllMaleGroup,18-24,8.9,10,10,10,4,8,10,10,"very cold at night.  pancakes were horribles.  good price, good location."
USA,Female,31-40,10,10,10,10,10,10,10,10,"i had such a great time here. first time to denver and such a wonderful way to meet it. the staff is super friendly and helpful. we did group tour activities like seeing the candy factory and then did a pub crawl the next night. it&#039;s a good location and not too far from downtown (8 min drive, 30 min walk). the place is weed friendly but also respectful to those that aren&#039;t interested in it. it felt like a family the way people were and house setup. i was sad to leave, stayed 9 days and loved it."
USA,Female,25-30,10,10,10,10,10,10,10,10,"very clean in a great central location. we loved the house. staff were super down to earth and helpful. pancake breakfast was delicious. overall great atmosphere, great experience!"
USA,Couple,31-40,9.1,10,10,6,10,10,8,10,really nice and fun. very clean. ok neighborhood. 
USA,Female,18-24,9.4,10,8,10,8,10,10,10,"mile high house is everything i wanted in a hostel experience. it&#039;s located within walking distance of many bars, and food, as well as walgreens, and a long walk or short drive/bus from all the attractions downtown-location is ideal. the house is beautiful, clean and cozy, with a great kitchen &amp; dining room. staff were present, friendly and helpful and facilitated lots of activities for guests to do together.    only issues: one cold shower. the dorm needs more outlets/extension cords to each bed."
USA,AllFemaleGroup,18-24,10,10,10,10,10,10,10,10,"really enjoyed our stay at the mile high hostel. highlights include getting drinks with some friendly guests/staff, the piping hot shower, and trying out the $3,000 japanese toilet. "
USA,Male,25-30,10,10,10,10,10,10,10,10,"best hostel i&#039;ve stayed at in the us! staff are amazing, the building is beautiful, really can&#039;t fault it"
England,Female,25-30,10,10,10,10,10,10,10,10,best hostel ever!! everyone was so helpful and the place is incredible. my room felt like a hotel room in a mansion and not a hostel. family dinner in the dining hall was really wonderful as well. i would recommend this place over and over again.
Australia,Female,18-24,10,10,10,10,10,10,10,10,"words cannot describe how beautiful this building is. it is literally one of the prettiest buildings i have walked in. on top of that, the staff is so much fun and helpful. everything was clean and new and the location was very easy to get to. we went and saw the lights in cheesman park just a few blocks away which i would highly recommend. easily the top location i have ever stayed in. "
Canada,Male,41+,9.7,8,10,10,10,10,10,10,"very good hostel, really funky design and super location close to stadiums, bars and restaurants. also short walk to the train and bus stations. had everything you typically need in a hostel and service is very good. more expensive though than most places i go."
USA,Male,25-30,10,10,10,10,10,10,10,10,"beware that there is not just a bar in the hostel, but there is also bar below this hostel. the bar may produce a lot of noise.     that being said this hostel was awesome and was the nicest of any of the hostels that i have stayed in. the staff was very helpful and allowed me to store my stuff in the back before i could check in, while i was away at my convention.     the facilities are just as pictured and are even more as amazing when seen in person.     "
Australia,Male,25-30,8.9,8,10,10,8,8,8,10,hostel fish was a very clean and well located place to stay.  staff were helpful but could have been more upbeat.
USA,Female,25-30,9.7,8,10,10,10,10,10,10,"had a quick overnight in denver and this hostel was an easy walk from the train, it&#039;s directly over a nice bar/club - which incidentally has some stellar food - if a little pricey. i was in a 6 bed all female dorm but on a dreary tuesday in january had the room to myself. the hostel has its own chill little bar; you get a free drink with your stay so i went and chatted to the bartender/front desk guy who was super cool and laid back.  overall great hostel, i&#039;d go back"
Malaysia,Male,25-30,9.1,8,8,10,10,10,10,8,the hostel bar is the cheapest place to drink downtown and attracts a good local crowd. the people i met during my stay here was one of the best groups i’ve ever had in a hostel. staff was stressed but were very quick to help with anything you need. the location: you are literally of the heart of the downtown bars/restaurants/breweries.   only downside is that the traffic generated from the bar (noise) and you are also sharing the bathrooms with them so it might be a bit messy in the am
India,Male,25-30,5.1,2,10,10,2,4,6,2,the price is way too high for the facilities provided. no breakfast. staff were mediocre.    pros:  bed was comfy. good locker capacity    cons:  high price  no breakfast  toilets were not cleaned regularly
Brazil,Female,25-30,9.1,8,10,10,8,8,10,10,"beautiful hostel, well located in downtown denver-my friend and i walked around, clean and organized. the only negative point was don&#039;t have outlets near my bunk so i had to leave the phone charging in a chair near the window. very secure though. the bathroom is awesome, clean and you can shower with privacy! i loved my stay there!"
USA,Male,25-30,9.4,8,8,10,10,10,10,10,great staff and vibe!!! facilities on point as well. location is the tits!!! looking forward to my return.
USA,Female,41+,9.4,10,8,10,8,10,10,10,there was not information given about a elevator on site.  throughout my stay people frequently came upstairs to the hostel looking for a felix who apparently owned a restaurant downstairs.  the people seemed harmless and were apparently legit but i was concerned that this occurred all night long. 
Scotland,Male,31-40,7.4,6,6,8,8,8,8,8,"if you&#039;re in town to explore denver and want to have fun, hostel fish is a great place to stay. the staff are pretty friendly and make an effort to create a party atmosphere in a hostel that is boutique and unique. however, if you&#039;re in town for work, as i was, it&#039;s best avoided (particularly thurs-sun) because the hostel is above a very noisy nightclub and also operates as a bar itself, meaning you&#039;re in your pjs brushing your teeth while people are coming in to use the same communal toilets. "
USA,Female,25-30,8,8,8,8,10,6,6,10,"not my favorite hostel, but definitely not the worst. location was great if you wanted to be close to bars, but i got there on a saturday night and it was extremely loud. if that&#039;s not a problem for you, then it&#039;s great. it was much quieter during the week. the beds are surprisingly comfy for a hostel, and it was very clean. there is no designated parking, so if you have a car you can rent a parking pass from them for $10 a day. but the lot is two blocks away, so you have to park and walk. "
USA,Male,18-24,9.1,6,10,10,10,10,10,8,very nice hostel! 
