nationality,gender,age,overall rating,value for money rating,security rating,location rating,facilities rating,staff rating,atmosphere rating,cleanliness rating,text review
England,Male,25-30,8.9,10,10,6,10,8,8,10,"this is a great hostel. the dorms are on one of the floors of the hotel which benefits from a rooftop pool and bar.   both the bars on the ground floor and rooftop were well stocked and had a hipster chic vibe to them. with no real space to socialise it's not the best option for a solo traveller - it definitely feels more of a hotel than hostel especially as my room was empty on my last day.   that said for the price and he overall vibe it's well worth a go, especially in a group! "
Australia,Female,25-30,10,10,10,10,10,10,10,10,"i stayed at freehand for one night &amp; it was easily the best hostel i've ever stayed in. great location as it's within walking distance or quick uber to everything, sites and local stores which made it really convenient. my four bed female dorm was extremely comfortable and very clean, with a spacious private bathroom. the complimentary breakfast was great, so were the bars and restaurants in house - the rooftop was my favourite! staff were very friendly &amp; so helpful. highly recommend!"
NewZealand,Couple,18-24,10,10,10,10,10,10,10,10,"amazing stay at freehand los angeles! the atmosphere here is great and everyone is really lovely! free breakfast and an awesome rooftop pool are definitely a plus! would recommend this stay to anyone looking for a central hostel in la that makes you feel at home. couldn’t have asked for a better stay, loved it. :-)"
USA,Female,31-40,9.7,10,10,8,10,10,10,10,"i stayed at freehand while i was at a conference in la. this is an awesome place to stay! the facilities were clean, staff professional and friendly, and the environment fun, yet safe. i chose an all female room. on my last night, there was a mistake with a male being assigned the room, but the staff quickly reassigned rooms after bringing this to their attention. the rooftop bar and pool are really cool. it should be noted though that the music is loud, so be prepared with earplugs! "
Ukraine,Male,31-40,10,10,10,10,10,10,10,10,"freehand la is the best hostel/hotel i've ever stayed in. great interior design &amp; materials (linens, beds etc) to the level that you won't get from many good hotels. amazing service. and of course it's very clean, safe and well located. i wouldn't stay anywhere else in la."
USA,Male,31-40,10,10,10,10,10,10,10,10,"amazing experience. can't wait to stay again, the pool on the roof is a highlight!"
Germany,Female,18-24,10,10,10,10,10,10,10,10,"clearly the best hostel i've ever been to! it's even better than most of the hotels i've visited. i would definitely come again! the only thing i didn't really like was the breakfast, but it's included and so it's totally okay not to have lots of different choices for what to eat in the morning."
Canada,Male,41+,9.1,10,8,10,8,10,8,10,"very helpful staff, very clean and new. kitchen could use take-away cups for coffee :-)"
Canada,Male,18-24,9.1,8,10,10,6,10,10,10,"for 4 days, probably the best hostel i have ever stayed at. the staff were amazing, the rooms were clean and the location was central to everything. i would definitely recommend this hostel to anyone who is going to la."
USA,Female,31-40,10,10,10,10,10,10,10,10,this was one of the best hostels i have stayed in. great location and fantastic rooms. would highly recommend. 
USA,Male,18-24,10,10,10,10,10,10,10,10,"the freehand has the backpacking game down! i had such a great time! the staff was engaging, funny, and as excited as we were to be there. i hope i get the chance to stay there again!    p.s. i'm also super tall and the beds were more than spacious, something i'm not accustomed to in even the highest rated hostels. +++"
England,Male,31-40,7.4,8,8,8,8,8,4,8,"a fairly decent spot - in a trendy area and enjoyed the swimming pool. however, the staff weren't always around and the rooms themselves were fairly small in size. plus the food and drinks were more expensive than their peers."
USA,Female,25-30,9.4,10,8,10,10,8,10,10,"freehand is a really nice place to stay! the beds are outfitted with little nooks to store your bedside needs plus a charging port, which is super clutch. the overall vibe of the place is incredibly styled and elevated. it felt like i was living in an instagram post! i'm disappointed i didn't get to stay longer to try out their rooftop pool/bar, but if i come back to la, i'll definitely be looking to stay here again!"
China,Male,25-30,10,10,10,10,10,10,10,10,"wonderful place in the heart of downtown la, the rooftop bar and pool has wonderful view!"
USA,Male,25-30,9.7,10,10,8,10,10,10,10,the hotel has a great envirnment and good facilities. it’s clean and it safe. it’s in downtown la which there is a lot of things to do as well and close to everything.
Australia,Couple,25-30,10,10,10,10,10,10,10,10,make sure you check out the rooftop bar and pool!!!
USA,Female,25-30,8.9,8,10,6,10,10,10,8,"beautiful space, i love 1920's architecture so i was excited to see this reno! the staff was friendly and helpful. restaurant is great. coffee was a bit overpriced and there are several great shops close by with a lower price and better pastry selection but it sure was convenient for the last day before heading to the airport. lots of plants which is always awesome. it was very quiet in the rooms, although my bed never got made and the trash wasn't emptied every day. clean overall though. "
USA,Female,25-30,9.1,8,10,10,10,8,8,10,the location was perfect. the room was really nice but a bit dark. the top bed was a bit hard to get into but very comfortable. 
USA,Male,25-30,10,10,10,10,10,10,10,10,ok this was my very first time staying in a hostel and the freehand far exceeded my expectations. everything from the decor to the rooms to the staff were excellent. i will definitely stay here during my next visit to la a great location as well absolutely loved this place!
Serbia,Female,18-24,10,10,10,10,10,10,10,10,"it was my first time to stay in hostel and i had an amazing experience!room was clean,staff was really nice and friendly, location is great, subway station is really close and few nice places to eat too. atmosphere was welcoming and friendly and you can meet some cool people by staying in this hostel."
USA,Male,41+,10,10,10,10,10,10,10,10,so nice pool on the roof over looking. downtown la staff great location great whole foods great bed great shower great everything is so great no words to describe just come and you will seeand then you will. oh my god i mean it
Philippines,Male,25-30,10,10,10,10,10,10,10,10,a bit over my budget but you get what you paid for. beautiful place. excellent service. great location. 
USA,Female,31-40,9.7,10,8,10,10,10,10,10,great place to hang out and lodge but bartenders’ customer service is a thumbsdown. 
China,Female,25-30,10,10,10,10,10,10,10,10,"it's the fanciest hostel i've ever been to. it's hotel-hostel hybrid, very new and clean. i stayed in a 6-bed mix room, which has its own bathroom, and it is spacious. the breakfast is just so so, but overall, it's worth it. "
USA,Male,31-40,10,10,10,10,10,10,10,10,"staff were super nice, from the moment you get there until you leave. the pictures on the website are accurate, i think its much nicer in person. and the people who bunked with me were very respectful and interesting. there was a sense of privacy and regard from other roommates. i would visit again."
USA,Female,31-40,10,10,10,10,10,10,10,10,"hands down the best hostel i've stayed at. super luxurious, decor and aesthetics on point. immaculate bathrooms and rooms. each bed has their own reading light and feels super private. they include a towel in the bed price, which is awesome. will def stay there again."
CzechRepublic,Female,31-40,7.4,8,6,10,6,10,2,10,"my experience might be different from other people but to me this hostel was not really a hostel that makes it easy to connect with other travellers. it is because it is also a hotel. it has a fancy bar and a fancy restaurant so when i ordered a soup that cost almost $10, i was surrounded by glamorous couples dressed up to impress. i was dressed in normal comfy clothes and it made me look like i don't belong there. the hostel was too impersonal and too posh. i would not stay there again. "
CzechRepublic,Male,18-24,10,10,10,10,10,10,10,10,best hostel i've ever lived in! you can not find second one like this for the same price
Canada,Female,25-30,10,10,10,10,10,10,10,10,"best hostel i have ever been too by far. brand new so everything is in good shape and the atmosphere is excellent. location is good for downtown, close to the metro redline so getting to hollywood, universal studios, and even santa monica beach is quite affordable and easy. also, the roof top pool is amazing - looks just like the pictures. would highly recommend. note - i would say this is a more mature hostel, ages seemed to be more late twenties/early thirties based on my experience."
Canada,Male,31-40,8,8,8,6,8,10,8,8,"clean rooms, great staff, location made it easy to get around downtown. large personal lockers were helpful too. "
Colombia,Male,18-24,10,10,10,10,10,10,10,10,"the place is really cool, it has an incredible rooftop with pool and the whole place is impecable. the price was just perfect, i think because it is still in construction and there are some facilities that are not working.  highly recommended"
Thailand,Male,25-30,7.7,8,6,8,6,8,10,8,this is a good place if you looking for hostel in la.
USA,Female,41+,10,10,10,10,10,10,10,10,excellent place to stay.  i really loved it...:)
USA,Male,41+,10,10,10,10,10,10,10,10,"beautiful hotel with rooftop pool in the heart of downtown los angeles. 7th street metro station a few blocks away, easy to get around los angeles."
Russia,Female,18-24,10,10,10,10,10,10,10,10,amazing hostel!
China,Male,18-24,9.7,10,10,10,8,10,10,10,best hostel ever ! fancy design. close to the metro station. 
Argentina,Male,25-30,9.1,10,6,10,10,10,8,10,"this is a quite fancy hotel with the option of shared bedrooms and a basement kitchen. you can get the comfort of a pricey hotel for the not so pricey room rate. it opened a few months ago and it's located on a historical building, so everything is extremely new but some things are still under wraps. i think the main issue are the elevators, right now only two are working and run quite slow. public rooftop pool is a letdown, as it's often full of outsiders and guests can't enjoy it that much."
Canada,Male,25-30,9.4,8,10,8,10,10,10,10,could be the best hostel i've been to. amazing rooftop pool! 
USA,Male,31-40,10,10,10,10,10,10,10,10,the staff at freehand la was superb and very hospitable. my roomates were very respecting and respectable.   
Austria,Male,25-30,10,10,10,10,10,10,10,10,"it doesn't get any better than this. great location, cozy and clean rooms, gorgeous rooftop! worth the money!"
Australia,Female,31-40,10,10,10,10,10,10,10,10,its the high end of the back packing lifestyle that's for sure. room and bed and bathroom we fabulous. you get to mix well with the people who are paying hundreds of dollars to stay here.  you will only ever buy one drink thats pretty pricey by cheap travellers standards here but do it on their amazing rooftop pool bar. great transport hub for all of la. supermarket just down the road and cool little bars and restaurants all around makes this an easy choice to go back too. 
Canada,Female,18-24,10,10,10,10,10,10,10,10,amazing place!! staff are all so friendly! everything is very nice and rooms are clean and bunks are very nice 
Spain,Male,25-30,10,10,10,10,10,10,10,10,one the best hostels i have ever been. the only problem i found was that the swimming pool wasn't opened. 
England,Male,31-40,10,10,10,10,10,10,10,10,"really lovely place, with incredibly helpful staff. great bar and i enjoyed the access to the gym."
Canada,Female,25-30,10,10,10,10,10,10,10,10,wonderful place to stay! really lovely and accommodating staff! i would recommend this place to all my friends. 
England,Male,31-40,9.4,10,10,10,8,10,8,10,great hotel/hostel in a good location downtown. the pool area and communal area wasn't ready when i was there but imagine it would be amazing once opened.
Italy,Female,31-40,8.9,10,10,8,4,10,10,10,"it's good, new and modern. the kitchen wasn't finished so that no kitchen or laundry."
England,Female,18-24,10,10,10,10,10,10,10,10,"such an amazing stay! super friendly staff too made it feel like i always had company on my solo trip. the atmosphere is also amazing, the location is perfect and the price was so good. would highly recommend!"
NewZealand,Female,25-30,7.4,6,8,8,6,8,8,8,"i really enjoyed it here, however i was disappointed as it was advertised to have a roof top pool. however this was not yet completed... "
USA,Male,41+,9.4,10,10,10,6,10,10,10,everything was so nice !      i suggest the following:      1) a microwave to warm up my food . . . . .   2) some hot water facility to make my own herbal tea.  3) a central/common kitchenette for additional convenience.
Australia,Female,18-24,9.1,6,10,8,10,10,10,10,"beautiful looking place - private rooms are new and amazing, staff are helpful, location is pretty good near metro stations and common bus routes around downtown and the rest of la."
Brazil,Female,31-40,9.7,8,10,10,10,10,10,10,"a must stay! lovely place and i had a wonderful time. clean, staff was amazing, great food and bar.    i will stay again.    thank you."
Australia,Male,31-40,10,10,10,10,10,10,10,10,"great hostel. super clean, nice new and modern. a shame the roof top pool and bar weren't open. would definitely stay/recommend again. "
Switzerland,Female,18-24,9.1,8,10,10,8,10,8,10,"great place to stay in downtown, free breakfast was convenient but not always packed correctly, friendly &amp; helpful staff."
England,Male,18-24,9.4,10,10,10,8,10,8,10,it was very enjoyable staying here. it covered all the basics apart from laundry facilities. the atmosphere was good but the staff are better. everyone i spoke to was extremely helpful so i can't fault the service. the location is very good in terms of accessibility however be cautious in the evening. the only negative (apart from not having a laundrette) is it is difficult to meet other backpackers unless you attend breakfast or are comfortable taking a gamble on talking to someone.
Brazil,Female,31-40,9.7,10,10,10,8,10,10,10,"amei o hostel, só acho que ainda podem melhorar no breakfast, fazendo com que haja interação entre os hóspedes, senti falta disso nos cafés da manhã ...mas de resto é sensacional!"
NewZealand,Male,25-30,7.4,8,10,8,2,8,6,10,"a pretty building with comfortable, modern rooms, the ensuite bathroom was especially beautiful! we were happy with the price, less happy that multiple advertised amenities (including the rooftop pool and kitchen) were not yet ready. quite odd staying here, this is a combo hostel-hotel-restaurant-trendy downtown bar. if you have nice clothes to hang out with la locals you might enjoy it, as normal backpackers you are totally out of place. stay elsewhere if you want to meet other travelers."
Australia,Female,18-24,9.7,10,8,10,10,10,10,10,"amazing place! i will definitely stay here again if i return to los angeles. staff were all super friendly and accommodating on my arrival, never received such terrific service before. location was central and convenient with public transport close by and lots of places to eat in close walking distance. beds and pillows were comfy and clean. lobby was super cool and made the place memorable."
Australia,Female,18-24,9.1,10,8,10,10,10,6,10,"really clean and new hostel-style rooms in what is really a hotel. included breakfast was a plus, however nothing fancy - some mornings included more stuff than others. the staff were very friendly and always happy to help. the location downtown felt as if it was in a fairly safe area. due to this being a hotel, there was no real hostel community feel. the other guests in my room seemed to only stay for one or two nights maximum. "
Scotland,Female,25-30,9.7,10,10,8,10,10,10,10,"amazing place to stay. gutted we arrived so late from lax and had to leave early the next day so we didn't get to make the most of the place.   i would definitely stay there again, staff were brilliant and we were upgraded which was a lovely treat after two days on airplanes/airports!   highly recommend freehand"
USA,Female,25-30,10,10,10,10,10,10,10,10,"i really enjoyed my stay, showered head pressure could be better but other than that was perfect!"
Germany,Male,31-40,9.4,8,10,10,8,10,10,10,"stayed for a week at that place. in my eyes it deserves 5 * out 5. usually i dont squander with perfect ratings like this, but freehand is outstanding in many ways. and that is mainly due to the fact it is a new facility (summer 2017). every unit (e.g. lift, toilet, bed) is in very good and clean condition. in addition different other positive aspects:    - beds are remarkably solid and firm. no squeaky metal bunk!  - good location ""7th metro center"" substation nearby.  - friendly staff    "
USA,Male,25-30,9.7,10,10,10,10,10,8,10,"great location and great staff! it's 80% hotel and 20% hostel, so the atmosphere is a hit or miss. everything else about this hostel is above and beyond!"
Scotland,Male,18-24,10,10,10,10,10,10,10,10,"very good, would stay again 10/10. don't be put off by the number of reviews, this place has just opened and is incredible."
Canada,Female,18-24,8.3,8,10,8,8,8,6,10,"sorry, i cannot give this place a better rating for now. as a hotel? 10.0 for sure. as a hostel? for now, it doesn't satisfy the hostel requirements in my books. they are in the process of finishing a common area with kitchen and a rooftop pool and bar, which will be amazing i am sure. they provide towels and there is a cool lobby bar, which is very pricey for backpackers. this is a fancy hotel, with dorm rooms. huge plus, there is ac. however, as a solo backpacker, good luck meeting people."
Australia,Female,18-24,10,10,10,10,10,10,10,10,"freehand only opened two weeks before my visit so a few of the facilities were still unavailable but despite this i loved it here. the staff were incredible - super helpful and friendly, rooms and beds were very clean and comfortable with regular housekeeping, great restaurant and bar, and just good vibes all around. definitely not your standard hostel (it's more like a hotel with shared rooms available), 11/10 would stay here every time i'm in dtla."
USA,Female,31-40,10,10,10,10,10,10,10,10,"the pros:  it’s a hostel so the price is cheaper when compared to the nearby hotels located in downtown la, about a 20 minute walk from the convention center. working thermostat. separate bathroom and shower. separate bathroom and shower.roof top pool and bar.indoor bar and restaurant. free gym. personal storage cubes.    cons: bunk beds were low. everyone hit their heads at least once. the elevators were down a few times. the staff helped drag all our stuff to our rooms on the 8th floor."
NewZealand,Male,18-24,9.7,10,10,10,8,10,10,10,"the freehand la was amazing! the staff were so friendly and helpful and the whole complex was incredibly modern and up to date. i would whole-heartedly recommend staying here. it's affordable, its a great location and the staff will go above and beyond to make your stay at the freehand and la truly excellent."
USA,Female,25-30,9.7,10,10,10,8,10,10,10,"probably one of the nicest hostels i've ever been to, and it'll be even nicer when the rooftop pool opens! beautifully designed, high-end place, a far cry from the typical metal bunks and sparse rooms at most hostels - they have really awesome wooden bunks with outlets and semi-privacy for each bed plus spacious cabinets. fresh towels/sheets daily, fast in-room wifi, great location in dtla. only negatives: slow elevator (but they have one!) + could have more social events for hostel guests."
Australia,Male,41+,9.7,10,10,8,10,10,10,10,"from the great roof top pool, to the regular excellent freehand rooms, and amazing staff this is a great hostel (also boutique hotel) it is in the middle of downtown la so the area is sketchy and will be a few years before inner city development makes it quaint, but easy access to everything and subway only a few blocks away. i really enjoyed my stay here."
Australia,Male,41+,10,10,10,10,10,10,10,10,"i wasn't able to stay in the hostel because the building work was yet to be  completed.     the owners put me into a sister property, the line la hotel.  they have me a complementary  night and for the other nights, only charged the hostel rates.     this was excellent customer service.   "
USA,Male,41+,10,10,10,10,10,10,10,10,"they had super customer service. i didn't actually get to stay with them, because they weren't open yet. so they put me up at their sister property and they were beyond awesome! "
Mexico,Female,25-30,9.4,8,10,10,10,10,8,10,"great hostel! friendly and helpful staff, amazing location. "
USA,Male,18-24,8.6,10,8,8,8,8,8,10,"very nice restrooms and showers ensuite. beds are very nice. location is great if you want to stay in hollywood. no pool, but the patio area is nice. good wifi everywhere. towel included. breakfast included.  if your primary goal is to see hollywood, i would recommend this hostel.   if you are just visiting la, i would recommend stay at venice beach or santa monica instead.  "
Australia,Female,18-24,8.9,10,6,10,10,8,8,10,great organised activities run by the staff. nice patio and lounge room to meet new people. clean hostel with big kitchen. 
Australia,Female,18-24,10,10,10,10,10,10,10,10,"fantastic hostel with large dorm rooms, super clean facilities, great location (especially for universal  studios) and very helpful staff in particular steven who runs the hollywood walking tour and runyon canyon hike... great guy! "
USA,Female,18-24,6.3,6,2,8,8,6,6,8,"didn’t feel super safe. a couple really weird incidents.. one inside of the hostel &amp; one just outside. a friend of mine and myself were locked out at a bad moment. decent cleanliness. some nice staff, some that left us out because of a situation just outside of the hostel but made the decision to leave us locked out. i get it that it was a hard decision, but probabaly not the wisest."
Ireland,Male,31-40,9.7,8,10,10,10,10,10,10,"great staff, good location, amazing free breakfast. excellent hostel."
NewZealand,Female,18-24,9.4,10,10,10,8,10,8,10,"this hostel is as good as advertised - the location is unbeatable, the staff are super friendly, and there are many activities planned for every day.    only issue for me was quite a major one - it had been a while since i'd stayed in a hostel dorm room and the curfew wasn't enforced so my roommates were awake with the lights on until 2am each night. i eventually made the switch to a private room, but even then the staff members would be talking loudly outside as i was beside the kitchen."
USA,Male,18-24,9.1,10,10,10,10,8,8,8,"nice place, great location. would recommend for a l.a tourist "
USA,Male,41+,9.1,10,8,10,10,10,8,8,after staying at a few hostels in the la area usa hostels is bar none the best!  lightyears ahead in the details and quality over the others.  you won't go wrong at usa hostels.  i stayed there for 14 days max stay!
USA,Male,31-40,8.3,8,10,8,8,8,8,8,"the stay at the hostel was good. the rooms were relatively clean, including the bathroom. the addition of a free breakfast was good, although the choices were pretty small.  i was able to fit my small airport sized carry on in the locker, which included a power outlet for secured in-locker charging. the bed was good. it included a privacy slat which included an outlet and reading light were good as well. everyone kept to themselves, no issues. "
Germany,Female,31-40,10,10,10,10,10,10,10,10,very happy to stay here. i would come back definitely
Australia,Male,18-24,9.1,8,10,6,10,10,10,10,"nearly everything about the hostel was great! staff were extremely helpful, they ran tours around la, free breakfast every morning meant there was one meal everyday we didn't have to worry about, clean bathrooms and just a very friendly atmosphere. the only thing i didn't like was that there weren't any privacy curtains for the beds in the dorm i stayed in. overall a great experience though!"
England,Female,25-30,8,8,8,8,8,8,8,8,nice hostel. 
SouthKorea,AllFemaleGroup,18-24,10,10,10,10,10,10,10,10,"i loved staying here  one day when i go back to la, i would love to stay here again"
Australia,Female,18-24,10,10,10,10,10,10,10,10,i only stayed for one night but the location was perfect and the facilities were great. i went on the night walking tour and the staff running it were extremely knowledgable and helpful. being solo traveller and my first time in la i was initially a bit hesitant and a bit disappointed in la but once i went on the tour i saw what it really had to offer and thanks to the usa hostel staff in hollywood i was able to make the most out of my 30hours stay in la!
Brazil,Female,18-24,7.4,8,6,10,6,8,6,8,"a localização é ótima, perto de praticamente tudo e fácil acesso aos locais, os tour que o hostel oferece são muito bons, super indico."
Canada,Female,31-40,8.3,8,10,10,8,6,8,8,"good location, clean and secure.  the only issue i had was with some staff.  not all, but i arrived 25 minutes before check-in time and he refused to check me in, only to watch him check in another guess 10 minutes later.  also, there were two extremely noisy and loud and rude girls in my female only room.  i asked to please be more respectful and they refused.  i brought it up with staff downstairs and they basically just said they have free earplugs.   other then that, everything was fine."
Spain,Male,31-40,7.7,6,8,10,6,8,8,8,"molt ben situat, net, cap problema. recomenable, hi tornaria."
SouthKorea,Female,25-30,8.3,8,8,8,8,10,8,8,"nearby flyaway, hollywood street. good breakfast. and prepared earplugs for sleep.   but the bed creaked whenever upper person moved. it is noisy than i thought. however, if use earplugs, it does not matters.   i recommend this hostel"
England,Couple,25-30,8.3,6,10,10,8,8,8,8,"overall the hostel was great, rooms were nice enough with dividers around the top of the bed which is nice for a bit of privacy. the breakfasts are great with a really good selection. there is lots going on with shuttles to the beach and tours pretty much everyday. there is a good guest atmosphere we met a lot of other travellers. most of the staff were amazing and couldn't do enough for you but a couple appeared rude and quiet arrogant. a great stay! "
France,Female,25-30,9.7,10,10,10,10,8,10,10,very good hostel. good atmosphere. many young people . the pancakes were a real highlight in my stay
USA,Male,25-30,10,10,10,10,10,10,10,10,"it is great. the people who stay there. the staff is amazing. great location for anyone who wants to explore hollywood or even dtla, just a few steps from the metro. very clean.ifelt a part of a community, like a family. and i will definitely be back. keep it up hostel of,hollywood. "
